Postcode,Latitude,Longitude,LSOA Code,LSOA Name
EH3 5LT,55.965922,-3.203542,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5LU,55.966872,-3.201986,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5LW,55.963231,-3.197548,S01008838,Broughton North and Powderhall - 03
EH3 5LX,55.966680,-3.204191,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5LY,55.967521,-3.203640,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5LZ,55.968048,-3.203000,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5NA,55.967642,-3.202218,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5NB,55.967891,-3.200688,S01008835,"Inverleith, Goldenacre and Warriston - 04"
EH3 5ND,55.968585,-3.201398,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5NE,55.969207,-3.201209,S01008835,"Inverleith, Goldenacre and Warriston - 04"
EH3 5NG,55.968640,-3.203098,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5NH,55.967914,-3.204790,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5NJ,55.967632,-3.205182,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5NL,55.967070,-3.202889,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5NP,55.963458,-3.202825,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5NQ,55.968343,-3.204066,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5NR,55.963906,-3.202054,S01008838,Broughton North and Powderhall - 03
EH3 5NS,55.963725,-3.203122,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5NU,55.962746,-3.208634,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5NY,55.962914,-3.212580,S01008832,"Inverleith, Goldenacre and Warriston - 01"
EH3 5NZ,55.964266,-3.212126,S01008832,"Inverleith, Goldenacre and Warriston - 01"
EH3 5PA,55.965488,-3.219389,S01008832,"Inverleith, Goldenacre and Warriston - 01"
EH3 5PB,55.965574,-3.220705,S01008832,"Inverleith, Goldenacre and Warriston - 01"
EH3 5PD,55.967352,-3.214449,S01008832,"Inverleith, Goldenacre and Warriston - 01"
EH3 5PE,55.968240,-3.218194,S01008832,"Inverleith, Goldenacre and Warriston - 01"
EH3 5PG,55.967529,-3.219293,S01008832,"Inverleith, Goldenacre and Warriston - 01"
EH3 5PL,55.969356,-3.213470,S01008832,"Inverleith, Goldenacre and Warriston - 01"
EH3 5PN,55.969072,-3.214952,S01008832,"Inverleith, Goldenacre and Warriston - 01"
EH3 5PR,55.970576,-3.213653,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5PS,55.970805,-3.211401,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5PT,55.970713,-3.209844,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5PU,55.971009,-3.209821,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5PW,55.969861,-3.215121,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5PX,55.970542,-3.208941,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5PY,55.969412,-3.207752,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5PZ,55.968549,-3.207822,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5QA,55.968983,-3.208428,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5QB,55.967611,-3.210917,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5QD,55.967546,-3.209312,S01008832,"Inverleith, Goldenacre and Warriston - 01"
EH3 5QE,55.968094,-3.207455,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5QF,55.970387,-3.215554,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5QH,55.967517,-3.205851,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5QJ,55.967576,-3.208112,S01008832,"Inverleith, Goldenacre and Warriston - 01"
EH3 5QL,55.969091,-3.206637,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5QN,55.969534,-3.206298,S01008833,"Inverleith, Goldenacre and Warriston - 02"
EH3 5QP,55.970012,-3.207066,S01008833,"Inverleith, Goldenacre and Warriston - 02"
