Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
EH6 7NE,Yes,55.969355,-3.155632,327967,675753,NT279757,Leith,,1980-01-01,,12,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7NF,Yes,55.969324,-3.155055,328003,675749,NT280757,Leith,,1980-01-01,,11,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7NG,Yes,55.969065,-3.154951,328009,675720,NT280757,Leith,,1980-01-01,,12,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7NH,Yes,55.968649,-3.156140,327934,675675,NT279756,Leith,,1980-01-01,,15,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7NJ,Yes,55.968402,-3.156645,327902,675648,NT279756,Leith,,1980-01-01,,17,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7NL,Yes,55.968216,-3.157249,327864,675628,NT278756,Leith,,1980-01-01,,18,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7NN,Yes,55.968124,-3.155644,327964,675616,NT279756,Leith,,1980-01-01,,18,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7NP,Yes,55.968450,-3.154340,328046,675651,NT280756,Leith,,1980-01-01,,16,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7NQ,Yes,55.968996,-3.155526,327973,675713,NT279757,Leith,,1980-01-01,,13,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7NR,Yes,55.968168,-3.152874,328137,675618,NT281756,Leith,,1980-01-01,,19,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7NS,Yes,55.968100,-3.154297,328048,675612,NT280756,Leith,,1980-01-01,,19,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
